Timestamp,EEG.F7,EEG.F8,dummy
1733043504.184209,-4.120775,-54.781006,0
1733043504.192022,-10.776654,-75.218529,0
1733043504.199836,-18.962801,-81.803314,0
1733043504.207649,-25.603838,-68.401512,0
1733043504.215462,-31.725927,-73.456184,0
1733043504.223275,-37.329586,-94.387344,0
1733043504.231088,-37.804562,-96.854492,0
1733043504.238901,-34.692913,-81.388412,0
1733043504.246714,-36.195145,-74.647026,0
1733043504.254527,-31.035872,-80.72007,0
1733043504.26234,-16.660219,-86.787041,0
1733043504.270153,-18.692791,-81.577179,0
1733043504.277966,-28.407944,-65.614059,0
1733043504.285779,-16.08415,-56.326908,0
1733043504.293592,-4.28499,-59.856735,0
1733043504.301405,-15.039166,-62.358418,0
1733043504.309218,-17.585667,-63.832981,0
1733043504.317032,-7.321926,-67.355301,0
1733043504.324844,-11.925373,-65.238716,0
1733043504.332657,-21.134987,-58.513477,0
1733043504.34047,-9.843082,-62.553425,0
1733043504.348284,1.949838,-78.372414,0
1733043504.356097,-7.785958,-86.490959,0
1733043504.36391,-20.073557,-75.133698,0
1733043504.371723,-19.541176,-59.177029,0
1733043504.379536,-17.472404,-57.068623,0
1733043504.387349,-20.528778,-57.011551,0
1733043504.395162,-22.045172,-49.782234,0
1733043504.402975,-19.973896,-51.781681,0
1733043504.410788,-16.880075,-61.463745,0
1733043504.418601,-15.83858,-60.889973,0
1733043504.426414,-15.822742,-60.316776,0
1733043504.434227,-8.634611,-63.330307,0
1733043504.44204,3.669408,-51.996208,0
1733043504.449853,1.1042,-41.698055,0
1733043504.457666,-18.876904,-53.951744,0
1733043504.465479,-34.739567,-65.168564,0
1733043504.473292,-33.167904,-54.857239,0
1733043504.481105,-25.450119,-48.65469,0
1733043504.488918,-26.961594,-60.901417,0
1733043504.496732,-36.668476,-73.135902,0
1733043504.504545,-36.631809,-68.964302,0
1733043504.512358,-20.713638,-57.112263,0
1733043504.520171,-11.983694,-56.030537,0
1733043504.527984,-20.168634,-64.683739,0
1733043504.535797,-17.074619,-58.471359,0
1733043504.54361,4.459379,-33.822121,0
1733043504.551423,5.991843,-27.640604,0
1733043504.559236,-17.067995,-47.080658,0
1733043504.567049,-23.19862,-57.279728,0
1733043504.574862,-11.392344,-49.537834,0
1733043504.582675,-18.553259,-48.97599,0
1733043504.590488,-31.854706,-61.734707,0
1733043504.598301,-24.650543,-67.820663,0
1733043504.606114,-18.990509,-63.142075,0
1733043504.613927,-27.68075,-58.980469,0
1733043504.62174,-26.628452,-61.995335,0
1733043504.629553,-15.331056,-60.396416,0
1733043504.637366,-8.655725,-47.528328,0
1733043504.64518,4.160624,-37.746952,0
1733043504.652993,11.841079,-43.856899,0
1733043504.660806,-9.687686,-64.817657,0
1733043504.668619,-34.268768,-76.023605,0
1733043504.676432,-30.648344,-56.992199,0
1733043504.684245,-22.933081,-32.856747,0
1733043504.692058,-27.520916,-34.360813,0
1733043504.699871,-26.468781,-45.597221,0
1733043504.707684,-19.782312,-53.748547,0
1733043504.715497,-23.348682,-65.990181,0
1733043504.72331,-33.059181,-70.022652,0
1733043504.731123,-38.1492,-60.731094,0
1733043504.738936,-34.012589,-57.596516,0
1733043504.746749,-26.806267,-62.661999,0
1733043504.754562,-23.705616,-61.062412,0
1733043504.762375,-24.194218,-57.927502,0
1733043504.770188,-16.485407,-57.357269,0
1733043504.778001,-4.173538,-51.152218,0
1733043504.785814,-5.193979,-45.465683,0
1733043504.793628,-15.947247,-51.055599,0
1733043504.801441,-17.468224,-58.176853,0
1733043504.809254,-15.913832,-55.557137,0
1733043504.817067,-17.947149,-49.866196,0
1733043504.82488,-21.003048,-50.328636,0
1733043504.832693,-27.642044,-60.524464,0
1733043504.840506,-35.811325,-72.247017,0
1733043504.848319,-36.287823,-74.736305,0
1733043504.856132,-36.251534,-72.612343,0
1733043504.863945,-36.215282,-72.539726,0
1733043504.871758,-24.39599,-64.270264,0
1733043504.879571,-14.637748,-54.472149,0
1733043504.887384,-18.721571,-56.466908,0
1733043504.895197,-14.092081,-53.336594,0
1733043504.90301,1.803549,-36.889412,0
1733043504.910823,2.826361,-29.167906,0
1733043504.918636,-6.398004,-32.212585,0
1733043504.926449,-7.928529,-31.668064,0
1733043504.934262,-17.142139,-35.734856,0
1733043504.942076,-34.031151,-46.457584,0
1733043504.949889,-34.509426,-53.583435,0
1733043504.957702,-27.814917,-62.751389,0
1733043504.965515,-31.885565,-67.811714,0
1733043504.973328,-33.390602,-60.059288,0
1733043504.981141,-28.234135,-50.777691,0
1733043504.988954,-26.668976,-49.189987,0
1733043504.996767,-19.982307,-42.993107,0
1733043505.00458,-6.130018,-25.531652,0
1733043505.012393,3.097651,-9.624581,0
1733043505.020206,3.094553,-11.15188,0
1733043505.028019,-15.351619,-28.046883,0
1733043505.035832,-40.439342,-39.289604,0
1733043505.043645,-37.837364,-36.176468,0
1733043505.051458,-20.893375,-36.652599,0
1733043505.059271,-31.630943,-52.497486,0
1733043505.067084,-49.017773,-66.277298,0
1733043505.074897,-44.357986,-60.575634,0
1733043505.08271,-39.190552,-47.195057,0
1733043505.090524,-34.540592,-38.438633,0
1733043505.098337,-17.599897,-26.104809,0
1733043505.10615,-19.119221,-15.320243,0
1733043505.113963,-36.518562,-22.989538,0
1733043505.121776,-29.822044,-36.798855,0
1733043505.129589,-16.984529,-37.786674,0
1733043505.137402,-24.139853,-38.773502,0
1733043505.145215,-27.701866,-49.493191,0
1733043505.153028,-27.674166,-57.128311,0
1733043505.160841,-34.818798,-52.460415,0
1733043505.168654,-21.46398,-37.551029,0
1733043505.176467,2.123638,-25.730402,0
1733043505.18428,-1.976947,-32.87698,0
1733043505.192093,-13.24574,-46.676411,0
1733043505.199906,-4.010955,-44.068195,0
1733043505.207719,2.653056,-38.388744,0
1733043505.215532,-11.694213,-49.621124,0
1733043505.223345,-25.002518,-61.35458,0
1733043505.231158,-21.391363,-59.243996,0
1733043505.238972,-17.271509,-48.426289,0
1733043505.246785,-19.303469,-39.156322,0
1733043505.254598,-14.673396,-42.70332,0
